date,exercised_atleast_30_mins,ate_homemade_meals,practiced_meditation,read_atleast_30_mins,drank_adequate_water,slept_over_7_hrs,wrote_gratitude_journal,limited_screen_time_to_1_hr,practiced_good_posture,connected_with_friends
2023-04-25,no,no,no,no,no,no,no,no,no,no
2023-04-25,no,no,no,no,no,no,no,no,no,no
2023-04-25,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-04-25,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-04-25,no,no,no,no,no,no,no,no,no,no
2023-04-25,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-04-25,no,no,no,no,no,no,no,no,no,no
2023-04-25,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-04-25,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-04-25,no,no,no,no,no,no,no,no,no,no
2023-04-26,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-04-26,no,no,no,no,no,no,no,no,no,no
2023-04-26,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-04-26,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-04-26,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-04-26,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-04-26,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-04-26,no,no,no,no,no,no,no,no,no,no
2023-04-26,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-04-26,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-04-27,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-04-27,no,no,no,no,no,no,no,no,no,no
2023-04-27,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-04-27,no,no,no,no,no,no,no,no,no,no
2023-04-27,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-04-27,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-04-27,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-04-27,no,no,no,no,no,no,no,no,no,no
2023-04-27,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-04-27,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-04-28,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-04-28,no,no,no,no,no,no,no,no,no,no
2023-04-28,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-04-28,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-04-28,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-04-28,no,no,no,no,no,no,no,no,no,no
2023-04-28,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-04-28,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-04-28,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-04-28,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-04-29,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-04-29,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-04-29,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-04-29,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-04-29,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-04-29,no,no,no,no,no,no,no,no,no,no
2023-04-29,no,no,no,no,no,no,no,no,no,no
2023-04-29,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-04-29,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-04-29,no,no,no,no,no,no,no,no,no,no
2023-04-30,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-04-30,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-04-30,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-04-30,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-04-30,no,no,no,no,no,no,no,no,no,no
2023-04-30,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-04-30,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-04-30,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-04-30,no,no,no,no,no,no,no,no,no,no
2023-04-30,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-01,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-01,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-01,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-01,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-01,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
