date,exercised_atleast_30_mins,ate_homemade_meals,practiced_meditation,read_atleast_30_mins,drank_adequate_water,slept_over_7_hrs,wrote_gratitude_journal,limited_screen_time_to_1_hr,practiced_good_posture,connected_with_friends
2023-04-21,yes,yes,yes,yes,yes,no,no,yes,yes,yes
2023-04-22,yes,yes,yes,no,yes,yes,no,yes,yes,yes
2023-04-23,yes,yes,yes,yes,no,yes,yes,yes,no,yes
2023-04-24,yes,yes,no,yes,yes,yes,yes,yes,no,yes
2023-04-25,yes,no,yes,yes,yes,no,yes,yes,yes,yes
2023-04-26,yes,no,yes,yes,yes,yes,yes,no,yes,yes
2023-04-27,yes,yes,yes,no,yes,yes,no,yes,yes,yes
2023-04-28,yes,yes,yes,no,yes,yes,no,yes,yes,yes
2023-04-29,yes,yes,yes,yes,no,yes,yes,yes,no,yes
2023-04-30,yes,no,yes,yes,yes,no,yes,yes,yes,yes
2023-05-01,yes,yes,yes,yes,no,yes,yes,yes,no,yes
2023-05-02,yes,yes,yes,yes,no,yes,yes,yes,no,yes
2023-05-03,yes,yes,yes,yes,yes,no,no,yes,yes,yes
2023-05-04,yes,no,yes,yes,yes,no,yes,yes,yes,yes
2023-05-05,yes,yes,no,yes,no,yes,yes,no,no,yes
2023-05-06,yes,no,yes,yes,yes,no,yes,yes,yes,yes
2023-05-07,yes,no,yes,no,yes,yes,yes,no,yes,yes
2023-05-08,no,yes,yes,no,yes,no,yes,yes,yes,no
2023-05-09,yes,no,yes,yes,yes,no,yes,yes,yes,yes
2023-05-10,yes,yes,no,yes,no,yes,yes,no,no,yes
2023-05-11,no,yes,yes,no,yes,no,yes,yes,yes,no
2023-05-12,yes,yes,no,yes,yes,yes,yes,yes,yes,yes
2023-05-13,yes,no,no,yes,yes,yes,no,yes,yes,yes
2023-05-14,yes,no,yes,yes,yes,yes,no,no,no,no
2023-05-15,yes,yes,no,yes,no,yes,yes,no,no,yes
2023-05-16,yes,no,yes,no,yes,yes,yes,no,yes,yes
2023-05-17,yes,yes,no,yes,yes,yes,yes,yes,yes,no
